['[CLS]', 'presents', 'a', 'good', 'case', 'while', 'failing', 'to', 'provide', 'a', 'reason', 'for', 'us', 'to', 'care', 'beyond', 'the', 'very', 'basic', 'dictums', 'of', 'human', 'decency', '[SEP]']	[2.3947661247802898e-05, 1.0570452104730066e-05, 1.1497623745526653e-05, 1.006123420665972e-05, 1.066909680957906e-05, 1.570307358633727e-05, 1.5341784092015587e-05, 1.7158323316834867e-05, 1.291772241529543e-05, 1.2636777682928368e-05, 1.2146285371272825e-05, 1.3062429388810415e-05, 1.305037676502252e-05, 2.0976554878870957e-05, 1.0369955816713627e-05, 2.1120338715263642e-05, 1.5577410522382706e-05, 1.0985860171786044e-05, 1.910463470267132e-05, 5.2112891353317536e-05, 3.6580062442226335e-05, 1.630150836717803e-05, 3.096079490205739e-05, 0.9995871782302856]
['[CLS]', 'beautifully', 'crafted', 'engaging', 'filmmaking', 'that', 'should', 'attract', 'upscale', 'audiences', 'hungry', 'for', 'quality', 'and', 'a', 'nostalgic', 'twisty', 'yarn', 'that', 'will', 'keep', 'them', 'guessing', '[SEP]']	[0.0012671061558648944, 0.0009102784097194672, 0.0009724704432301223, 0.0010590022429823875, 0.0010119583457708359, 0.0013240381376817822, 0.0012589102843776345, 0.0013904154766350985, 0.0008429291774518788, 0.0008303563226945698, 0.0011003614636138082, 0.004513180814683437, 0.0008375101024284959, 0.0025288634933531284, 0.0011245736386626959, 0.0030287320842035115, 0.0017127913306467235, 0.0009899494471028447, 0.0013632701011374593, 0.0011954873334616423, 0.0008160239667631686, 0.0011749244295060635, 0.0011121260467916727, 0.9676345586776733]
['[CLS]', 'bread', 'my', 'sweet', 'has', 'so', 'many', 'flaws', 'it', 'would', 'be', 'easy', 'for', 'critics', 'to', 'shred', 'it', '[SEP]']	[0.009061967022716999, 0.006875567138195038, 0.00801444798707962, 0.008167481049895287, 0.007203550077974796, 0.007927740924060345, 0.014231541194021702, 0.009623768739402294, 0.008393500000238419, 0.008829168975353241, 0.010264280252158642, 0.015086536295711994, 0.02425755187869072, 0.006997487973421812, 0.015872299671173096, 0.02112798299640417, 0.006932916585355997, 0.8111320734024048]
['[CLS]', 'slow', 'silly', 'and', 'unintentionally', 'hilarious', '[SEP]']	[0.06299766898155212, 0.0419042706489563, 0.04237683117389679, 0.12696316838264465, 0.4230806268751621, 0.04889581352472305, 0.2537814974784851]
['[CLS]', 'ultimately', 'feels', 'empty', 'and', 'unsatisfying', 'like', 'swallowing', 'a', 'communion', 'wafer', 'without', 'the', 'wine', '[SEP]']	[0.013638573698699474, 0.0086824307218194, 0.006054928991943598, 0.008023753762245178, 0.01764865778386593, 0.027009491808712482, 0.013904035091400146, 0.006733363959938288, 0.010812417604029179, 0.011115274392068386, 0.015493541490286589, 0.008330432698130608, 0.01111925020813942, 0.00832879263907671, 0.8331049084663391]
['[CLS]', 'exudes', 'the', 'fizz', 'of', 'a', 'busby', 'berkeley', 'musical', 'and', 'the', 'visceral', 'excitement', 'of', 'a', 'sports', 'extravaganza', '[SEP]']	[0.026548411697149277, 0.025740991346538067, 0.014758006669580936, 0.03061850555241108, 0.04671577736735344, 0.022714238613843918, 0.027367654256522655, 0.011346892453730106, 0.013891220092773438, 0.10220851749181747, 0.028528882190585136, 0.049213419668376446, 0.01395945344120264, 0.024562569335103035, 0.015554165467619896, 0.014476591721177101, 0.05137980077415705, 0.48041489720344543]
['[CLS]', 'the', 'film', 'rehashes', 'several', 'old', 'themes', 'and', 'is', 'capped', 'with', 'pointless', 'extremes', '[SEP]']	[0.023316476494073868, 0.012008710764348507, 0.013392355293035507, 0.03792837541550398, 0.019693972542881966, 0.031623415648937225, 0.016053378582000732, 0.026579849421977997, 0.011247821152210236, 0.01155208982527256, 0.014853001572191715, 0.010580715723335743, 0.013783860951662064, 0.7573860883712769]
['[CLS]', 'ryan', 'gosling', 'is', 'in', 'a', 'word', 'brilliant', 'as', 'the', 'conflicted', 'daniel', '[SEP]']	[0.021896088495850563, 0.011875519528985023, 0.024803712964057922, 0.012031138874590397, 0.01972683146595955, 0.013268653303384781, 0.013263155706226826, 0.012120147235691547, 0.018293652683496475, 0.015540960244834423, 0.022094054147601128, 0.01427081972360611, 0.800815224647522]
['[CLS]', 'if', 'deuces', 'wild', 'had', 'been', 'tweaked', 'up', 'a', 'notch', 'it', 'would', 'have', 'become', 'a', 'camp', 'adventure', 'one', 'of', 'those', 'movies', '[SEP]']	[0.005571116227656603, 0.003467622445896268, 0.013334061484783888, 0.00426626717671752, 0.0034451137762516737, 0.004002504516392946, 0.026397427078336477, 0.008881118148565292, 0.006923498585820198, 0.009199858643114567, 0.0039301179349422455, 0.003130043623968959, 0.0036535942927002907, 0.004296543076634407, 0.004424075596034527, 0.005547843407839537, 0.004148534499108791, 0.004333649296313524, 0.008241593837738037, 0.006660794373601675, 0.005013008136302233, 0.8611315488815308]
['[CLS]', 'frida', 'is', 'certainly', 'no', 'disaster', 'but', 'neither', 'is', 'it', 'the', 'kahlo', 'movie', 'frida', 'fans', 'have', 'been', 'looking', 'for', '[SEP]']	[0.000620819628238678, 0.0006668356654699892, 0.0002732480352278799, 0.0003634575696196407, 0.00037744888686574996, 0.00028927126550115645, 0.0003219335922040045, 0.00034305782173760235, 0.00024828981258906424, 0.0002456317888572812, 0.00027715007308870554, 0.0007622180273756385, 0.00023707374930381775, 0.0006648613780271262, 0.00028238145750947297, 0.0003721833345480263, 0.00045404196134768426, 0.00033631405676715076, 0.0004227100289426744, 0.9924412369728088]
